City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto ayora,-0.7393,-90.3518,20.86,99,43,2.78,EC,1720007329
83,quang ngai,15.1167,108.8,26.51,85,100,3.41,VN,1720007101
84,la sarre,48.8002,-79.1996,13.84,97,100,4.47,CA,1720007332
85,san clemente del tuyu,-36.3569,-56.7235,4.99,73,54,8.03,AR,1720007333
86,sabang,5.8933,95.3214,29.04,73,69,7.73,ID,1720007263
87,puerto baquerizo moreno,-0.9,-89.6,21.01,86,57,3.8,EC,1720007335
88,fort wellington,6.4,-57.6,26.42,85,51,1.64,GY,1720007337
89,afaahiti,-17.75,-149.2833,21.93,71,88,8.94,PF,1720007179
90,cambridge,43.3601,-80.3127,21.64,82,20,3.09,CA,1720007339
91,el gouna,27.3942,33.6782,39.05,37,0,5.9,EG,1720007341
92,egilsstadir,65.2653,-14.3948,10.95,76,100,4.12,IS,1720007100
93,boa vista,2.8197,-60.6733,25.99,83,20,1.54,BR,1720007343
94,ashmun,30.2986,30.9764,35.47,12,0,2.67,EG,1720007344
95,anadyr,64.75,177.4833,15.28,72,0,5.0,RU,1720007095
96,san patricio,28.017,-97.5169,28.92,86,16,2.49,US,1720007298
97,fortuna,40.5982,-124.1573,8.51,100,0,0.0,US,1720007349
98,ust'-ilimsk,58.0006,102.6619,25.18,58,65,3.14,RU,1720007351
99,sinop,41.7711,34.8709,22.24,30,0,4.42,TR,1720007353
100,tura,25.5198,90.2201,25.53,95,100,2.8,IN,1720007354
101,hadibu,12.65,54.0333,29.96,58,42,11.57,YE,1720007355
102,bilibino,68.0546,166.4372,10.16,78,46,1.33,RU,1720007356
103,singaparna,-7.3515,108.111,22.35,98,76,0.91,ID,1720007358
104,tanout,14.9709,8.8879,35.54,32,30,5.27,NE,1720007360
105,ahome,25.9167,-109.1833,26.91,73,100,6.14,MX,1720007364
106,ust-nera,64.5667,143.2,15.71,69,100,1.1,RU,1720007368
107,contamana,-7.3333,-75.0167,21.5,87,23,0.34,PE,1720007370
108,thunder bay,48.4001,-89.3168,13.95,100,40,0.51,CA,1720007371
109,lubango,-14.9172,13.4925,25.64,14,5,2.64,AO,1720007372
110,ancud,-41.8697,-73.8203,7.47,86,90,10.11,CL,1720007375
111,eirunepe,-6.6603,-69.8736,22.43,79,70,1.09,BR,1720007376
112,leninskoye,41.7589,69.3864,32.62,13,1,5.93,KZ,1720007378
113,bamboo flat,11.7,92.7167,26.05,94,100,2.57,IN,1720007379
114,kirakira,-10.4544,161.9205,26.08,87,90,5.09,SB,1720007380
115,guingamp,48.4167,-3.3333,17.63,90,99,4.55,FR,1720007382
116,nicoya,10.1483,-85.452,24.11,95,99,0.63,CR,1720007383
117,port mathurin,-19.6833,63.4167,22.29,64,16,9.26,MU,1720007384
118,bardai,11.65,7.2333,28.76,57,57,4.63,NG,1720007385
119,barra de santo antonio,-9.4047,-35.5072,23.6,75,66,4.49,BR,1720007387
120,caransebes,45.4167,22.2167,16.71,82,100,1.19,RO,1720007388
121,oboyan',51.2098,36.2792,31.42,33,74,3.27,RU,1720007389
122,elliot,-31.3333,27.85,17.9,25,50,8.43,ZA,1720007391
123,hawaiian paradise park,19.5933,-154.9731,21.73,94,75,2.57,US,1720007392
124,ta`u,-14.2336,-169.5144,27.35,82,11,11.33,AS,1720007138
125,qarazhal,48.0078,70.7903,24.09,42,100,5.03,KZ,1720007395
126,cootamundra,-34.65,148.0333,4.41,83,5,2.54,AU,1720007317
127,utrik,11.2278,169.8474,28.05,79,76,7.79,MH,1720007397
128,san luis de la loma,17.2706,-100.8939,24.4,88,100,2.38,MX,1720007398
129,katrineholm,58.9959,16.2072,17.94,80,98,1.26,SE,1720007400
130,arraial do cabo,-22.9661,-42.0278,21.92,88,0,1.54,BR,1720007179
131,wailua homesteads,22.0669,-159.378,24.44,75,75,5.66,US,1720007402
132,felege neway,6.3,36.8833,24.92,54,82,0.66,ET,1720007404
133,nahiyat ash shinafiyah,31.5874,44.6602,42.09,11,0,7.05,IQ,1720007405
134,north battleford,52.7834,-108.2847,11.89,100,0,4.12,CA,1720007406
135,udachny,66.4167,112.4,14.4,38,10,6.5,RU,1720007407
136,klyuchi,52.2667,79.1667,22.49,50,70,3.06,RU,1720007409
137,aasiaat,68.7098,-52.8699,2.97,86,99,1.46,GL,1720007411
138,kismayo,-0.3582,42.5454,27.79,64,97,7.41,SO,1720007413
139,avarua,-21.2078,-159.775,24.03,88,75,5.14,CK,1720007414
140,whitehorse,60.7161,-135.0538,12.43,81,100,3.09,CA,1720007415
141,khandyga,62.6667,135.6,16.41,76,70,0.55,RU,1720007417
142,hasaki,35.7333,140.8333,24.22,91,100,4.38,JP,1720007181
143,luau,-10.7073,22.2247,31.09,18,28,1.49,AO,1720007419
144,lorengau,-2.0226,147.2712,25.37,90,100,3.16,PG,1720007420
145,isangel,-19.55,169.2667,22.69,81,13,1.92,VU,1720007421
146,cabedelo,-6.9811,-34.8339,23.37,79,87,7.9,BR,1720007265
147,tazacorte,28.629,-17.9293,23.42,79,75,5.66,ES,1720007425
148,ende,-8.8432,121.6623,24.27,86,67,1.97,ID,1720007426
149,aswan,24.0934,32.907,40.61,11,0,3.09,EG,1720007318
150,enewetak,11.3474,162.3373,28.67,80,100,8.02,MH,1720007429
151,new norfolk,-42.7826,147.0587,7.18,95,10,1.07,AU,1720007430
152,al fulah,11.7329,28.3579,36.3,27,100,6.83,SD,1720007432
153,dondo,-19.6094,34.7431,26.73,40,0,2.87,MZ,1720007433
154,jawf al maqbabah,13.8378,45.8349,29.64,47,80,5.53,YE,1720007434
155,horta,38.5333,-28.6333,23.9,77,20,7.15,PT,1720007435
156,happy valley-goose bay,53.3168,-60.3315,20.17,56,20,5.14,CA,1720007391
157,carolina,18.3808,-65.9574,30.2,85,75,5.66,PR,1720007439
158,tual,-5.6667,132.75,26.47,87,80,10.36,ID,1720007440
159,ambodifotatra,-16.9833,49.85,23.98,65,33,6.21,MG,1720007442
160,tughyl,47.7252,84.2063,18.83,62,69,1.93,KZ,1720007324
161,gulbene,57.1777,26.7529,20.42,50,92,5.04,LV,1720007444
162,al wafrah,28.6392,47.9306,43.84,7,0,8.43,KW,1720007445
163,zilair,52.2332,57.4392,25.66,51,24,2.58,RU,1720007447
164,mili,6.0815,171.735,29.04,78,88,7.25,MH,1720007167
165,vylkove,45.4021,29.586,29.89,40,50,6.58,UA,1720007449
166,mount pearl,47.5166,-52.7813,14.48,98,100,6.69,CA,1720007450
167,turpan,42.9333,89.1667,36.21,22,20,1.92,CN,1720007452
168,alice springs,-23.7,133.8833,2.75,81,0,2.06,AU,1720007453
169,stanley,54.868,-1.6985,14.88,74,40,4.12,GB,1720007454
170,divnoye,45.9089,43.3547,33.63,22,38,8.66,RU,1720007455
171,mahina,-17.5065,-149.489,22.87,73,20,2.57,PF,1720007370
172,rio verde,21.9333,-99.9833,18.64,94,34,0.86,MX,1720007458
173,dryden,49.7833,-92.7503,15.16,94,75,5.14,CA,1720007459
174,kapuskasing,49.4169,-82.4331,15.05,94,100,3.6,CA,1720007460
175,monrovia,6.3005,-10.7969,24.87,73,62,4.79,LR,1720007461
176,hamilton,39.1834,-84.5333,26.05,81,75,3.6,US,1720007463
177,newman,37.3138,-121.0208,23.49,23,0,1.31,US,1720007464
178,forster,-32.1667,152.5167,10.77,97,81,4.76,AU,1720007465
179,saldanha,-33.0117,17.9442,14.03,87,92,8.86,ZA,1720007466
180,uturoa,-16.7333,-151.4333,25.78,72,23,11.28,PF,1720007468
181,merritt island,28.5392,-80.672,28.89,89,0,0.0,US,1720007469
182,wynyard,-41.0,145.7167,6.22,79,0,2.28,AU,1720007471
183,lihue,21.9789,-159.3672,24.77,74,75,5.66,US,1720007228
184,arafat,21.3594,39.9664,41.27,11,86,5.93,SA,1720007474
185,karasburg,-28.0167,18.75,17.86,20,1,6.68,NA,1720007410
186,tionk essil,12.7856,-16.5217,31.03,61,71,5.64,SN,1720007477
187,labuan,5.2767,115.2417,28.2,83,20,0.0,MY,1720007479
188,qandala,11.472,49.8728,34.81,44,81,1.93,SO,1720007488
189,alofi,-19.0595,-169.9187,23.94,83,20,3.09,NU,1720007490
190,motueka,-41.1333,173.0167,5.05,83,50,1.93,NZ,1720007491
191,reyes,-14.3167,-67.3833,18.09,100,20,0.0,BO,1720007492
192,argo,37.6333,22.7333,27.1,42,11,3.32,GR,1720007376
193,nelson bay,-32.7167,152.15,12.27,95,33,7.49,AU,1720007495
194,barrouallie,13.2333,-61.2667,25.96,86,82,6.54,VC,1720007496
195,pangobilian,8.8011,117.8594,27.1,81,99,1.45,PH,1720007497
196,norton,-17.8833,30.7,24.97,20,0,1.8,ZW,1720007499
197,hiratacho,35.4333,132.8167,29.01,83,40,8.23,JP,1720007500
198,rehoboth,-23.3167,17.0833,22.98,5,0,1.9,NA,1720007501
199,okhotsk,59.3833,143.3,10.87,79,55,3.83,RU,1720007503
200,verkhnevilyuysk,63.4453,120.3167,16.25,62,45,3.09,RU,1720007504
201,naze,28.3667,129.4833,27.51,84,31,2.6,JP,1720007417
202,pyapon,16.2833,95.6833,25.87,90,100,2.8,MM,1720007320
203,susuman,62.7833,148.1667,10.06,86,35,1.34,RU,1720007507
204,tari,12.4086,4.4914,32.36,48,81,4.36,NG,1720007509
205,tamale,9.4008,-0.8393,29.77,59,100,3.28,GH,1720007510
206,lebu,-37.6167,-73.65,7.06,77,100,3.4,CL,1720007511
207,carutapera,-1.195,-46.02,26.24,90,22,4.38,BR,1720007513
208,el playon,7.4713,-73.2031,24.15,96,99,1.23,CO,1720007514
209,auki,-8.7676,160.7034,25.41,87,80,2.17,SB,1720007515
210,duncan,34.5023,-97.9578,26.94,64,0,2.57,US,1720007516
211,takanabe,32.1333,131.5,30.94,82,82,3.24,JP,1720007234
212,badger,64.8,-147.5333,17.27,61,75,3.6,US,1720007235
213,vila velha,-20.3297,-40.2925,20.97,100,0,1.03,BR,1720007520
214,pelabuhanratu,-6.9875,106.5514,26.73,89,49,2.09,ID,1720007521
215,xuanzhou,30.9525,118.7553,28.31,83,6,1.16,CN,1720007523
216,kingston,17.997,-76.7936,26.53,89,75,3.6,JM,1720007524
217,kodiak,57.79,-152.4072,8.73,93,100,1.54,US,1720007525
218,hotan,37.0997,79.9269,35.49,13,4,5.11,CN,1720007452
219,rushville,39.6092,-85.4464,24.58,89,66,2.68,US,1720007528
220,prince rupert,54.3161,-130.3201,11.83,90,80,5.66,CA,1720007296
221,kenai,60.5544,-151.2583,9.52,94,0,5.14,US,1720007530
222,sinabang,2.4803,96.3801,28.32,71,87,2.07,ID,1720007531
223,kasulu,-4.5767,30.1025,29.75,25,85,1.53,TZ,1720007534
224,santana,-0.0583,-51.1817,28.1,89,75,2.06,BR,1720007536
225,talnakh,69.4865,88.3972,17.5,37,50,6.08,RU,1720007537
226,margaret river,-33.95,115.0667,10.85,79,0,4.06,AU,1720007391
227,lompoc,34.6391,-120.4579,15.08,100,0,1.63,US,1720007540
228,dalandzadgad,43.5708,104.425,27.17,19,68,3.24,MN,1720007542
229,saurimo,-9.6608,20.3916,30.65,17,18,2.98,AO,1720007543
230,haiku-pauwela,20.9219,-156.3051,23.36,86,75,7.2,US,1720007544
231,port elizabeth,-33.918,25.5701,21.72,62,0,3.13,ZA,1720007545
232,along,28.1667,94.7667,25.36,98,98,0.26,IN,1720007547
233,kutum,14.2,24.6667,32.65,24,85,5.22,SD,1720007548
234,mournies,35.4764,24.0092,30.22,62,20,10.29,GR,1720007549
235,amungan,15.3652,119.9582,28.5,78,75,1.37,PH,1720007550
236,constantia,44.1833,28.65,28.38,57,66,4.58,RO,1720007314
237,saint augustine beach,29.8505,-81.2654,27.83,83,0,1.54,US,1720007555
238,sanya,18.2431,109.505,30.09,79,40,5.0,CN,1720007368
239,san julian,21.0167,-102.1667,13.45,91,30,1.74,MX,1720007558
240,kodinsk,58.6881,99.1844,27.73,46,84,2.17,RU,1720007563
241,labrador city,52.9463,-66.9114,18.99,59,75,2.06,CA,1720007565
242,essaouira,31.5125,-9.77,25.72,65,1,6.17,MA,1720007435
243,jijiga,9.35,42.8,24.89,49,73,7.49,ET,1720007568
244,pisco,-13.7,-76.2167,16.03,88,100,1.54,PE,1720007342
245,neryungri,56.6709,124.6491,20.89,80,62,2.39,RU,1720007574
246,karratha,-20.7377,116.8463,23.34,40,0,7.39,AU,1720007575
247,viedma,-40.8135,-62.9967,2.0,80,2,4.24,AR,1720007576
248,colares,38.7992,-9.4469,27.55,66,20,7.72,PT,1720007577
249,klaksvik,62.2266,-6.589,10.51,92,98,8.11,FO,1720007579
250,maluso,6.543,121.8753,26.98,84,100,2.81,PH,1720007580
251,cannonvale,-20.2833,148.7,20.66,81,58,5.91,AU,1720007581
252,broome,42.2506,-75.833,20.3,82,86,2.24,US,1720007583
253,tobruk,32.0836,23.9764,27.46,71,0,7.47,LY,1720007584
254,murghob,38.1702,73.9667,20.94,10,0,5.13,TJ,1720007299
255,inirida,3.8653,-67.9239,23.62,97,88,1.29,CO,1720007528
256,isla mujeres,21.2311,-86.731,25.09,81,72,2.87,MX,1720007588
257,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,100,2.0,RU,1720007591
258,robertsport,6.7533,-11.3686,26.26,77,57,4.66,LR,1720007592
259,sao vicente,-23.9631,-46.3919,22.77,26,0,1.19,BR,1720007328
260,pilibhit,28.6333,79.8,26.18,91,100,4.89,IN,1720007595
261,tazovsky,67.4667,78.7,16.61,46,100,6.62,RU,1720007596
262,aykhal,66.0,111.5,14.76,39,45,4.4,RU,1720007597
263,nizhneangarsk,55.7833,109.55,16.71,73,40,0.73,RU,1720007603
264,nema,57.5067,50.5011,31.35,41,20,4.19,RU,1720007606
265,birao,10.2849,22.7882,36.95,31,74,1.43,CF,1720007607
266,mount gambier,-37.8333,140.7667,4.52,88,0,2.45,AU,1720007609
267,ebon,4.582,168.6964,28.55,78,100,6.43,MH,1720007611
268,nemuro,43.3236,145.575,16.5,74,94,1.66,JP,1720007447
269,cayenne,4.9333,-52.3333,27.02,89,0,2.06,GF,1720007613
270,polyarnyy,69.1989,33.4478,12.77,76,98,7.82,RU,1720007437
271,victorica,-36.2151,-65.4359,5.56,52,81,2.41,AR,1720007616
272,rio grande,-32.035,-52.0986,12.19,80,9,5.53,BR,1720007617
273,grand falls-windsor,48.9332,-55.6649,18.06,82,1,2.31,CA,1720007618
274,villa gesell,-37.2639,-56.973,4.47,79,64,6.07,AR,1720007619
275,padang,-0.9492,100.3543,30.03,85,57,1.94,ID,1720007504
276,takestan,36.0696,49.6959,34.07,36,0,7.02,IR,1720007622
